event;round;nbHeat;idLen;idStyle;abCat;date;time
101 ;0 ;5 ;6 ;1 ;"G" ;"07/10/11" ;"00:00" ;
102 ;0 ;2 ;6 ;1 ;"B" ;"07/10/11" ;"00:00" ;
103 ;0 ;5 ;0 ;0 ;"G" ;"07/10/11" ;"00:00" ;
104 ;0 ;3 ;0 ;0 ;"B" ;"07/10/11" ;"00:00" ;
105 ;0 ;3 ;2 ;0 ;"G" ;"07/10/11" ;"00:00" ;
106 ;0 ;2 ;2 ;0 ;"B" ;"07/10/11" ;"00:00" ;
107 ;0 ;2 ;1 ;4 ;"G" ;"07/10/11" ;"00:00" ;
108 ;0 ;3 ;2 ;4 ;"G" ;"07/10/11" ;"00:00" ;
109 ;0 ;2 ;1 ;4 ;"B" ;"07/10/11" ;"00:00" ;
110 ;0 ;1 ;2 ;4 ;"B" ;"07/10/11" ;"00:00" ;
111 ;0 ;5 ;6 ;2 ;"G" ;"07/10/11" ;"00:00" ;
112 ;0 ;2 ;6 ;2 ;"B" ;"07/10/11" ;"00:00" ;
113 ;0 ;4 ;0 ;3 ;"G" ;"07/10/11" ;"00:00" ;
114 ;0 ;2 ;0 ;3 ;"B" ;"07/10/11" ;"00:00" ;
201 ;0 ;2 ;0 ;1 ;"G" ;"07/10/11" ;"00:00" ;
202 ;0 ;1 ;0 ;1 ;"B" ;"07/10/11" ;"00:00" ;
203 ;0 ;5 ;6 ;0 ;"G" ;"07/10/11" ;"00:00" ;
204 ;0 ;2 ;6 ;0 ;"B" ;"07/10/11" ;"00:00" ;
205 ;0 ;3 ;6 ;0 ;"G" ;"07/10/11" ;"00:00" ;
206 ;0 ;3 ;6 ;0 ;"B" ;"07/10/11" ;"00:00" ;
207 ;0 ;3 ;1 ;4 ;"G" ;"07/10/11" ;"00:00" ;
208 ;0 ;2 ;1 ;4 ;"B" ;"07/10/11" ;"00:00" ;
209 ;0 ;2 ;2 ;0 ;"G" ;"07/10/11" ;"00:00" ;
210 ;0 ;1 ;2 ;0 ;"B" ;"07/10/11" ;"00:00" ;
211 ;0 ;3 ;6 ;3 ;"G" ;"07/10/11" ;"00:00" ;
212 ;0 ;2 ;6 ;3 ;"B" ;"07/10/11" ;"00:00" ;
213 ;0 ;2 ;0 ;2 ;"G" ;"07/10/11" ;"00:00" ;
214 ;0 ;1 ;0 ;2 ;"B" ;"07/10/11" ;"00:00" ;
301 ;0 ;4 ;0 ;1 ;"G" ;"07/10/11" ;"00:00" ;
302 ;0 ;3 ;0 ;1 ;"B" ;"07/10/11" ;"00:00" ;
303 ;0 ;2 ;0 ;0 ;"G" ;"07/10/11" ;"00:00" ;
304 ;0 ;2 ;0 ;0 ;"B" ;"07/10/11" ;"00:00" ;
305 ;0 ;3 ;2 ;0 ;"G" ;"07/10/11" ;"00:00" ;
306 ;0 ;2 ;2 ;0 ;"B" ;"07/10/11" ;"00:00" ;
307 ;0 ;1 ;1 ;4 ;"G" ;"07/10/11" ;"00:00" ;
308 ;0 ;1 ;2 ;4 ;"G" ;"07/10/11" ;"00:00" ;
309 ;0 ;1 ;1 ;4 ;"B" ;"07/10/11" ;"00:00" ;
310 ;0 ;2 ;2 ;4 ;"B" ;"07/10/11" ;"00:00" ;
311 ;0 ;4 ;0 ;2 ;"G" ;"07/10/11" ;"00:00" ;
312 ;0 ;3 ;0 ;2 ;"B" ;"07/10/11" ;"00:00" ;
313 ;0 ;2 ;0 ;3 ;"G" ;"07/10/11" ;"00:00" ;
314 ;0 ;2 ;0 ;3 ;"B" ;"07/10/11" ;"00:00" ;
