event; round;heat;lane;relais;idBib;
301 ;0 ;0 ;1 ;0 ;183 ;
301 ;0 ;0 ;2 ;0 ;180 ;
301 ;0 ;0 ;3 ;0 ;89 ;
301 ;0 ;0 ;4 ;0 ;74 ;
301 ;0 ;0 ;5 ;0 ;4 ;
301 ;0 ;1 ;1 ;0 ;150 ;
301 ;0 ;1 ;2 ;0 ;210 ;
301 ;0 ;1 ;3 ;0 ;110 ;
301 ;0 ;1 ;4 ;0 ;17 ;
301 ;0 ;1 ;5 ;0 ;152 ;
301 ;0 ;2 ;1 ;0 ;206 ;
301 ;0 ;2 ;2 ;0 ;184 ;
301 ;0 ;2 ;3 ;0 ;45 ;
301 ;0 ;2 ;4 ;0 ;170 ;
301 ;0 ;2 ;5 ;0 ;154 ;
301 ;0 ;2 ;6 ;0 ;139 ;
301 ;0 ;3 ;1 ;0 ;16 ;
301 ;0 ;3 ;2 ;0 ;95 ;
301 ;0 ;3 ;3 ;0 ;136 ;
301 ;0 ;3 ;4 ;0 ;14 ;
301 ;0 ;3 ;5 ;0 ;132 ;
301 ;0 ;3 ;6 ;0 ;131 ;
301 ;0 ;4 ;1 ;0 ;38 ;
301 ;0 ;4 ;2 ;0 ;56 ;
301 ;0 ;4 ;3 ;0 ;82 ;
301 ;0 ;4 ;4 ;0 ;90 ;
301 ;0 ;4 ;5 ;0 ;44 ;
301 ;0 ;4 ;6 ;0 ;105 ;
301 ;0 ;5 ;1 ;0 ;63 ;
301 ;0 ;5 ;2 ;0 ;141 ;
301 ;0 ;5 ;3 ;0 ;13 ;
301 ;0 ;5 ;4 ;0 ;163 ;
301 ;0 ;5 ;5 ;0 ;137 ;
301 ;0 ;5 ;6 ;0 ;9 ;
301 ;0 ;6 ;1 ;0 ;46 ;
301 ;0 ;6 ;2 ;0 ;70 ;
301 ;0 ;6 ;3 ;0 ;94 ;
301 ;0 ;6 ;4 ;0 ;23 ;
301 ;0 ;6 ;5 ;0 ;2 ;
301 ;0 ;6 ;6 ;0 ;128 ;
301 ;0 ;7 ;1 ;0 ;72 ;
301 ;0 ;7 ;2 ;0 ;27 ;
301 ;0 ;7 ;3 ;0 ;130 ;
301 ;0 ;7 ;4 ;0 ;149 ;
301 ;0 ;7 ;5 ;0 ;172 ;
301 ;0 ;7 ;6 ;0 ;5 ;
301 ;0 ;8 ;1 ;0 ;178 ;
301 ;0 ;8 ;2 ;0 ;97 ;
301 ;0 ;8 ;3 ;0 ;43 ;
301 ;0 ;8 ;4 ;0 ;66 ;
301 ;0 ;8 ;5 ;0 ;117 ;
301 ;0 ;8 ;6 ;0 ;176 ;
301 ;0 ;9 ;1 ;0 ;85 ;
301 ;0 ;9 ;2 ;0 ;167 ;
301 ;0 ;9 ;3 ;0 ;68 ;
301 ;0 ;9 ;4 ;0 ;87 ;
301 ;0 ;9 ;5 ;0 ;124 ;
301 ;0 ;9 ;6 ;0 ;60 ;
301 ;0 ;10 ;1 ;0 ;177 ;
301 ;0 ;10 ;2 ;0 ;39 ;
301 ;0 ;10 ;3 ;0 ;166 ;
301 ;0 ;10 ;4 ;0 ;135 ;
301 ;0 ;10 ;5 ;0 ;133 ;
301 ;0 ;10 ;6 ;0 ;200 ;
301 ;0 ;11 ;1 ;0 ;202 ;
301 ;0 ;11 ;2 ;0 ;159 ;
301 ;0 ;11 ;3 ;0 ;223 ;
301 ;0 ;11 ;4 ;0 ;203 ;
301 ;0 ;11 ;5 ;0 ;158 ;
301 ;0 ;11 ;6 ;0 ;134 ;
301 ;0 ;12 ;1 ;0 ;221 ;
301 ;0 ;12 ;2 ;0 ;220 ;
301 ;0 ;12 ;3 ;0 ;217 ;
301 ;0 ;12 ;4 ;0 ;222 ;
301 ;0 ;12 ;5 ;0 ;219 ;
301 ;0 ;12 ;6 ;0 ;207 ;
307 ;0 ;0 ;1 ;0 ;54 ;
